Sample 63: No. iterations = 1, Error = 0.000999212
Sample 64: No. iterations = 1, Error = 0.000999199
Sample 65: No. iterations = 1, Error = 0.000999187
Sample 66: No. iterations = 1, Error = 0.000999174
Sample 67: No. iterations = 1, Error = 0.000999162
Sample 68: No. iterations = 1, Error = 0.000999149
Sample 69: No. iterations = 1, Error = 0.000999137
Sample 70: No. iterations = 1, Error = 0.000999125
Sample 71: No. iterations = 1, Error = 0.000999112
Sample 72: No. iterations = 1, Error = 0.0009991
Sample 73: No. iterations = 1, Error = 0.000999087
Sample 74: No. iterations = 1, Error = 0.000999075
Sample 75: No. iterations = 1, Error = 0.000999063
Sample 76: No. iterations = 1, Error = 0.00099905
Sample 77: No. iterations = 1, Error = 0.000999038
Sample 78: No. iterations = 1, Error = 0.000999025
Sample 79: No. iterations = 1, Error = 0.000999013
Sample 80: No. iterations = 1, Error = 0.000999
Sample 81: No. iterations = 1, Error = 0.000998988
Sample 82: No. iterations = 1, Error = 0.000998976
Sample 83: No. iterations = 1, Error = 0.000998963
Sample 84: No. iterations = 1, Error = 0.000998951
Sample 85: No. iterations = 1, Error = 0.000998938
Sample 86: No. iterations = 1, Error = 0.000998926
Sample 87: No. iterations = 1, Error = 0.000998914
Sample 88: No. iterations = 1, Error = 0.000998901
Sample 89: No. iterations = 1, Error = 0.000998889
Sample 90: No. iterations = 1, Error = 0.000998876
Sample 91: No. iterations = 1, Error = 0.000998864
Sample 92: No. iterations = 1, Error = 0.000998851
Sample 93: No. iterations = 1, Error = 0.000998839
Sample 94: No. iterations = 1, Error = 0.000998827
Sample 95: No. iterations = 1, Error = 0.000998814
Sample 96: No. iterations = 1, Error = 0.000998802
Sample 97: No. iterations = 1, Error = 0.000998789
Sample 98: No. iterations = 1, Error = 0.000998777
Sample 99: No. iterations = 1, Error = 0.000998765
Sample 100: No. iterations = 1, Error = 0.000998752
Sample 101: No. iterations = 1, Error = 0.00099874
Sample 102: No. iterations = 1, Error = 0.000998727
Sample 103: No. iterations = 1, Error = 0.000998715
Sample 104: No. iterations = 1, Error = 0.000998703
Sample 105: No. iterations = 1, Error = 0.00099869
Sample 106: No. iterations = 1, Error = 0.000998678
Sample 107: No. iterations = 1, Error = 0.000998665
Sample 108: No. iterations = 1, Error = 0.000998653
Sample 109: No. iterations = 1, Error = 0.000998641
Sample 110: No. iterations = 1, Error = 0.000998628
Sample 111: No. iterations = 1, Error = 0.000998616
Sample 112: No. iterations = 1, Error = 0.000998603
Sample 113: No. iterations = 1, Error = 0.000998591
Sample 114: No. iterations = 1, Error = 0.000998578
Sample 115: No. iterations = 1, Error = 0.000998566
Sample 116: No. iterations = 1, Error = 0.000998554
Sample 117: No. iterations = 1, Error = 0.000998541
Sample 118: No. iterations = 1, Error = 0.000998529
Sample 119: No. iterations = 1, Error = 0.000998516
Sample 120: No. iterations = 1, Error = 0.000998504
Sample 121: No. iterations = 1, Error = 0.000998492
Sample 122: No. iterations = 1, Error = 0.000998479
Sample 123: No. iterations = 1, Error = 0.000998467
Sample 124: No. iterations = 1, Error = 0.000998454
Sample 125: No. iterations = 1, Error = 0.000998442
Sample 126: No. iterations = 1, Error = 0.00099843
Sample 127: No. iterations = 1, Error = 0.000998417
Sample 128: No. iterations = 1, Error = 0.000998405
Sample 129: No. iterations = 1, Error = 0.000998392
Sample 130: No. iterations = 1, Error = 0.00099838
